date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
Jul-98,0.6,-0.1,-0.69,0.19,0.12,-0.37,1.06,0.58,-0.06,0.07,0.11,3.43,-0.07
Aug-98,-3.19,6.91,-8.36,-19.22,-1.07,-8.86,-1.43,-2.63,-5.52,-5.44,-3.41,24.63,-6.16
Sep-98,-1.96,4.54,-2.15,-3.95,0.61,-1.1,-3.62,-0.59,2.06,0.76,0.05,-3.76,-0.37
Oct-98,-2.14,0.04,-0.29,1.4,0.52,0.91,-8.01,-2.23,1.69,1.59,-1.4,-10.77,-0.02
Nov-98,2.69,-0.89,1.64,4.3,1.58,2.44,0.52,1.94,2.91,2.2,1.98,-7.56,2.2
Dec-98,1.13,2.21,1.08,-0.98,2.09,2.19,1.2,2.33,4.08,2.24,1.64,-5.31,2.22
Jan-99,2.19,-1.67,1.81,-1.2,1.01,2.01,1.58,0.86,2.58,1.12,1.95,-6.65,2.02
Feb-99,0.82,1.97,-0.21,1.02,0.23,-0.42,2.08,-1.11,-1.69,0.36,0.85,8.33,-0.63
Mar-99,1.36,-0.65,1.59,5.85,0.33,1.93,1.6,0.24,2.29,1.33,1.16,-1.54,2.13
Apr-99,2.43,2.1,4.18,6.3,1.07,4.29,1.06,3.29,3.12,2.18,2.38,-3.75,4
May-99,1.66,-1.5,2.07,0.61,0.89,2.15,0.72,-0.55,0.95,2.1,1.46,0.09,1.19
Jun-99,1.02,2.34,2.73,6.54,1.68,2.97,0.88,2.14,3.15,2.22,1.48,-4.12,2.82
Jul-99,1.01,-0.51,0.84,-0.61,1.35,0.96,0.51,-0.18,1.77,1.47,1.1,0.92,0.88
Aug-99,0.48,-0.27,0.2,-1.47,0.95,-0.27,-0.28,-0.61,0.22,0.5,0.62,4.68,0.28
Sep-99,0.96,0.64,-0.41,-0.69,0.95,0.9,0.92,-0.02,1.13,1.16,1.05,4.01,0.52
Oct-99,0.45,-3.54,0.27,2.88,0.66,0.54,0.87,0.73,2.12,0.96,0.7,-1.3,1.3
Nov-99,1.24,1.66,2.2,6.92,1.33,2.84,1.06,4.05,4.81,2.37,1.37,-12.39,4.83
Dec-99,1.4,1.42,3,12.3,1.98,2.86,0.97,6.12,7.45,0.9,1.83,-11.37,6.22
Jan-00,2.27,1.28,0.88,0.77,0.75,0.88,0.41,0.21,0.75,1.43,1.73,4.27,1.69
Feb-00,2.67,-0.22,4.21,5.28,2.53,3.46,0.97,4.08,6.99,2.39,1.85,-13.4,6.66
Mar-00,2.43,-1.38,1.03,3.18,1.34,0.69,-0.61,-1.04,0.06,1.31,1.63,-2.3,0.39
Apr-00,2.23,-2.41,-1.01,-5.41,1.68,-0.59,-0.06,-3.04,-2.01,1.88,0.92,10.28,-2.69
May-00,1.49,1.14,-1.32,-4.33,0.62,-0.34,1.07,-0.7,-0.97,1.46,0.8,7.04,-1.22
Jun-00,1.79,-1.24,2.03,3.34,1.71,2.68,0.58,1.54,3.49,1.67,1.76,-11.07,3.11
Jul-00,0.93,-1.31,0.64,0.25,0.63,0.57,0.18,0.37,0.06,1.16,0.84,5.53,-0.22
Aug-00,1.62,1.89,1.4,3.68,2.1,1.73,1.07,2.48,3.45,1.57,1.57,-11.35,2.67
Sep-00,1.41,-2.08,-0.19,-4.62,0.58,0.48,0.76,-1.49,-0.16,1.37,0.75,12.04,-0.69
Oct-00,0.52,0.75,-0.73,-2.56,0.4,-0.68,0.06,-0.24,-0.84,0.26,-0.04,7.84,-1.04
Nov-00,-0.81,4.25,-2.09,-3.85,0.45,-1.36,0.66,1.25,-1.53,1.02,0.06,16.57,-2.05
Dec-00,-0.02,6.82,0.01,1.16,1.6,1.27,0.48,4.72,2.48,1.25,0.75,0.63,1.33
Jan-01,3.44,0.25,3.08,5.86,0.75,2.98,1.63,2.14,1.65,1.11,3.33,-2.71,2.23
Feb-01,1.82,-0.16,1,-2.21,1.2,0.45,0.54,-0.72,-2.64,0.54,0.3,10.21,-0.89
Mar-01,1.62,4.38,-0.37,-1.75,1.08,-0.42,0.51,0.38,-1.99,-0.61,-0.11,6.2,-0.68
Apr-01,1.57,-3.62,0.48,1.14,0.75,1.1,0.94,0.49,2.46,0.58,1.74,-9.91,1.04
May-01,0.33,0.81,2.35,2.78,0.77,1.85,0.68,0.32,0.43,1.61,1.41,-1.3,0.8
Jun-01,0.12,-0.77,3.6,1.6,0.17,0.63,0.17,0.17,0.19,-0.87,0.19,1.1,0.13
Jul-01,0.91,-0.4,0.73,-2.86,0.31,0.49,0.54,-0.4,-1.44,0.79,0.1,3.53,-0.4
Aug-01,1.42,1.53,1.06,0.3,0.94,0.9,1.05,0.06,-0.96,0.99,-0.31,7.52,0.19
Sep-01,0.78,2.46,-0.14,-4.25,0.23,-2.54,-0.13,-0.7,-3.48,-2.67,-2.21,9.41,-1.42
Oct-01,1.17,3.36,1.03,2.78,0.58,1.48,1.34,2.08,0.99,0.85,1.64,-2.98,0.95
Nov-01,0.8,-5.43,0.86,4.83,0.55,1.05,-0.24,0.21,2,0.14,1.36,-6.55,0.58
Dec-01,-0.94,1.48,0.15,4.21,0.56,1.07,0.53,1.38,1.8,0.45,0.97,-2.51,0.99
Jan-02,1.48,-0.72,1.86,2.73,0.65,0.78,0.86,0.69,-0.37,0.77,0.97,3.43,0.3
Feb-02,-0.49,-2.02,-0.33,1.81,-0.07,-0.71,0.56,-0.35,-1.23,-0.44,-0.11,3.9,-0.15
Mar-02,0.53,0.09,0.52,3.31,0.47,1.53,0.45,0.64,1.55,0.73,1.45,-4.46,0.9
Apr-02,0.96,-1.04,1.39,1.44,0.76,0.46,1.13,0.98,-0.42,-0.13,0.7,4.83,0.52
May-02,0.33,2.7,0.91,0.01,0.53,0.01,0.99,1.23,-0.34,0,0.31,3.46,0.5
Jun-02,0.04,6.55,-1.17,-2.92,0.22,-2.83,0.69,-0.22,-2.49,-1.7,-1.07,5.48,-0.95
Jul-02,-1.59,4.13,-1.33,-3.09,-0.13,-3,0.57,-0.78,-3.89,-1.74,-1.85,6.44,-1.4
Aug-02,0.5,2.2,0.09,1.19,0.69,0.6,0.97,0.63,0.41,0.61,0.58,0.15,0.37
Sep-02,1.46,2.84,-0.44,-2.52,0.15,-0.7,-0.33,0.54,-1.6,-0.28,-1.1,7.31,-0.33
Oct-02,1.04,-3.76,-0.31,1.54,0.16,0.31,-0.63,-0.86,1.23,0.32,0.84,-4.05,-0.31
Nov-02,2.51,-1.64,2.39,1.9,0.25,2.16,0.54,0.47,2.24,0.54,1.85,-5.47,1.06
Dec-02,1.57,4.89,2.22,0.48,0.94,0.44,1.53,1.92,-1.49,0.46,0.23,4.43,0.77
Jan-03,2.83,4.41,2.43,0.12,0.83,1.54,1.06,1.82,0.05,0.4,0.67,1.62,0.72
Feb-03,1.33,4.02,0.92,0.84,0.24,0.26,0.79,1.66,-0.37,0.18,-0.04,1.3,0.31
Mar-03,0.89,-4.45,1.13,0.19,0.15,0.83,0.19,-1.22,0.2,-0.07,0.49,-0.75,-0.04
Apr-03,1.5,0.65,3.45,4.5,0.31,2.72,0.91,1.17,2.98,0.99,1.86,-6.56,1.34
May-03,1.36,4.9,2.7,4.33,1.07,3.01,2.07,3.97,3.62,1.54,2.12,-4.99,2.05
